sep=\t
Module Resource Usage Distribution Estimates
Generated at: May 02, 2026 10:33:34

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	       FFs	      SRLs	      ADDs	      LUTs	    COMB4s	      RAMs	 DSP/MULTs
spi_controller_tmr:spi_controller_tmr  	   105(0)	     0(0)	     0(0)	  151(64)	     0(0)	     0(0)	     0(0)	
 +gen_cores[0].u_spi:spi_controller    	   35(35)	     0(0)	     0(0)	   29(29)	     0(0)	     0(0)	     0(0)	
 +gen_cores[1].u_spi:spi_controller    	   35(35)	     0(0)	     0(0)	   29(29)	     0(0)	     0(0)	     0(0)	
 +gen_cores[2].u_spi:spi_controller    	   35(35)	     0(0)	     0(0)	   29(29)	     0(0)	     0(0)	     0(0)	
